job_title,experience_level,employment_type,company_size,company_location,employee_residence,industry,remote_ratio,years_experience,education_level
Research Scientist,Senior,Contract,M,DE,DE,Consulting,0,12.2,Bachelors
Data Engineer,Entry,Full-time,M,CA,CA,Retail,0,2.4,Bachelors
Computer Vision Engineer,Entry,Full-time,M,CA,CA,Technology,50,0.0,Bootcamp
Analytics Engineer,Senior,Full-time,M,US,US,Education,50,11.2,Self-taught
MLOps Engineer,Senior,Full-time,M,SG,SG,Technology,0,9.2,PhD
Data Scientist,Senior,Full-time,M,US,US,Technology,0,7.2,Bachelors
AI Engineer,Senior,Full-time,M,AU,AU,Healthcare,100,12.1,Bachelors
LLM Engineer,Mid,Full-time,M,CA,CA,Finance,0,8.0,Bachelors
Data Analyst,Entry,Full-time,M,US,US,Consulting,0,3.7,Bootcamp
Data Analyst,Mid,Full-time,M,IN,IN,Technology,0,2.4,Bachelors
Machine Learning Engineer,Lead,Full-time,L,AU,AU,Healthcare,0,14.7,Masters
LLM Engineer,Mid,Full-time,M,AU,AU,Technology,0,9.3,Bachelors
Data Scientist,Senior,Full-time,S,US,US,Finance,100,11.8,Bootcamp
MLOps Engineer,Senior,Full-time,L,IN,DE,Finance,100,12.4,Bachelors
AI Engineer,Senior,Full-time,S,US,US,Consulting,100,8.5,Self-taught
MLOps Engineer,Senior,Full-time,M,GB,GB,Technology,100,11.2,Bachelors
Data Analyst,Senior,Full-time,S,US,US,Technology,100,10.8,Bootcamp
Data Science Manager,Mid,Full-time,M,NL,NL,Finance,0,6.3,Bootcamp
Data Analyst,Entry,Full-time,L,ES,ES,Energy,0,0.0,Masters
LLM Engineer,Senior,Full-time,S,GB,GB,Technology,0,12.8,Self-taught
Data Scientist,Senior,Full-time,S,NL,NL,Healthcare,50,8.4,Bachelors
MLOps Engineer,Lead,Full-time,S,IN,IN,Healthcare,100,15.3,Bachelors
Data Engineer,Senior,Full-time,M,FR,FR,Education,0,11.2,Bachelors
Data Engineer,Senior,Full-time,M,PL,PL,Technology,100,12.9,Masters
Business Intelligence Analyst,Senior,Contract,M,GB,GB,Finance,50,10.1,Bootcamp
Data Engineer,Mid,Full-time,M,GB,GB,Technology,50,5.0,PhD
AI Engineer,Senior,Full-time,L,NL,NL,Technology,0,12.1,Masters
AI Engineer,Senior,Full-time,S,US,US,Energy,50,12.2,PhD
Data Scientist,Senior,Part-time,S,US,US,Consulting,0,14.6,Masters
MLOps Engineer,Mid,Full-time,M,FR,US,Consulting,0,7.1,Bachelors
Computer Vision Engineer,Senior,Full-time,M,ES,ES,Retail,50,10.2,Masters
Data Engineer,Senior,Full-time,M,IN,IN,Technology,50,11.1,Masters
LLM Engineer,Mid,Contract,L,GB,GB,Media,0,4.4,Masters
Data Analyst,Mid,Contract,M,US,US,Finance,50,7.4,Masters
AI Engineer,Entry,Full-time,M,DE,DE,Finance,50,2.8,Masters
Data Analyst,Entry,Full-time,S,BR,BR,Finance,50,2.4,Masters
Data Analyst,Lead,Full-time,M,US,US,Healthcare,0,15.2,Bachelors
Research Scientist,Senior,Full-time,L,IN,IN,Education,0,8.5,Bachelors
Data Scientist,Mid,Full-time,S,US,US,Technology,50,6.1,Masters
Data Science Manager,Entry,Full-time,L,IN,IN,Technology,0,3.8,Bachelors
MLOps Engineer,Entry,Part-time,S,US,US,Technology,0,2.8,Bachelors
Data Analyst,Entry,Full-time,L,IN,IN,Consulting,100,1.5,Masters
AI Engineer,Senior,Full-time,S,US,US,Media,50,9.5,Bachelors
Data Scientist,Entry,Full-time,M,US,US,Media,100,2.0,Bachelors
Research Scientist,Entry,Full-time,M,US,US,Media,100,2.1,Masters
LLM Engineer,Senior,Full-time,M,NL,NL,Energy,0,10.9,Masters
LLM Engineer,Lead,Freelance,M,US,US,Media,50,13.1,PhD
Data Scientist,Lead,Full-time,L,GB,GB,Finance,0,13.8,Masters
Data Scientist,Executive,Full-time,L,US,US,Finance,0,19.7,Masters
Research Scientist,Senior,Full-time,M,FR,FR,Manufacturing,50,9.0,Bootcamp
Data Engineer,Senior,Full-time,S,GB,FR,Manufacturing,0,11.4,Bachelors
Computer Vision Engineer,Lead,Full-time,M,GB,GB,Technology,0,14.8,Masters
AI Engineer,Lead,Full-time,M,IN,GB,Technology,100,16.7,PhD
AI Engineer,Entry,Full-time,M,US,US,Retail,100,3.1,Masters
Analytics Engineer,Senior,Full-time,M,US,US,Technology,100,12.4,Bachelors
Business Intelligence Analyst,Senior,Full-time,L,US,US,Media,0,11.6,Bachelors
Machine Learning Engineer,Lead,Full-time,M,BR,IN,Finance,100,14.3,Masters
AI Engineer,Mid,Full-time,L,US,US,Healthcare,0,8.7,Bachelors
Data Scientist,Senior,Full-time,S,IN,IN,Technology,0,9.9,Bachelors
Computer Vision Engineer,Lead,Contract,L,US,DE,Retail,50,15.4,Bachelors
Business Intelligence Analyst,Entry,Full-time,M,IN,IN,Consulting,50,2.3,Bachelors
Data Scientist,Mid,Full-time,S,US,US,Consulting,100,5.4,Masters
Data Engineer,Mid,Full-time,M,US,US,Consulting,50,6.0,Bootcamp
Business Intelligence Analyst,Lead,Full-time,L,NL,NL,Media,50,15.4,Bachelors
AI Engineer,Lead,Full-time,M,SG,SG,Retail,50,16.5,Masters
Data Engineer,Mid,Full-time,M,US,US,Energy,0,7.6,Bachelors
Data Engineer,Lead,Full-time,M,IN,IN,Consulting,50,13.5,Masters
Research Scientist,Lead,Full-time,M,US,US,Technology,100,14.8,Masters
MLOps Engineer,Mid,Full-time,L,US,US,Retail,0,4.7,Bachelors
Data Scientist,Lead,Full-time,M,IN,IN,Healthcare,100,13.8,Bachelors
Machine Learning Engineer,Entry,Full-time,L,AU,AU,Finance,0,1.2,Masters
LLM Engineer,Mid,Full-time,M,BR,BR,Manufacturing,0,8.2,Masters
LLM Engineer,Senior,Full-time,M,IN,IN,Technology,0,10.7,Bachelors
MLOps Engineer,Entry,Full-time,S,US,US,Education,0,0.8,Masters
LLM Engineer,Mid,Full-time,M,US,US,Finance,50,4.3,Masters
MLOps Engineer,Senior,Full-time,S,BR,BR,Technology,100,12.6,Bachelors
LLM Engineer,Entry,Full-time,S,US,US,Finance,50,1.4,Bachelors
Data Engineer,Senior,Part-time,S,GB,GB,Finance,0,8.1,Masters
Data Scientist,Lead,Full-time,M,AU,AU,Finance,50,15.5,Masters
Data Scientist,Lead,Full-time,S,BR,BR,Retail,0,13.7,Bachelors
AI Engineer,Senior,Full-time,M,NL,NL,Retail,0,11.4,Masters
Data Scientist,Senior,Full-time,M,GB,GB,Technology,50,11.6,PhD
LLM Engineer,Senior,Full-time,S,IN,IN,Technology,0,11.0,Bachelors
Data Analyst,Entry,Full-time,L,CA,CA,Government,50,4.0,Masters
LLM Engineer,Senior,Full-time,M,IN,IN,Manufacturing,50,11.8,Self-taught
Data Engineer,Lead,Full-time,M,IN,IN,Technology,100,16.2,Bachelors
Data Scientist,Lead,Full-time,M,CA,CA,Technology,0,14.8,Masters
Data Engineer,Senior,Full-time,L,US,US,Finance,100,6.3,Bachelors
Data Scientist,Senior,Full-time,M,DE,DE,Technology,0,12.3,Bachelors
Data Analyst,Senior,Full-time,M,IN,IN,Media,100,7.8,Masters
Data Scientist,Mid,Contract,S,US,US,Healthcare,50,5.1,Self-taught
Data Science Manager,Mid,Full-time,M,GB,GB,Retail,50,6.5,Masters
Machine Learning Engineer,Mid,Full-time,L,BR,BR,Technology,0,7.4,PhD
AI Engineer,Mid,Full-time,M,US,US,Finance,0,7.1,Masters
Data Scientist,Mid,Full-time,M,NL,NL,Technology,50,6.7,Bachelors
Data Scientist,Mid,Full-time,M,IN,IN,Technology,50,5.5,Masters
AI Engineer,Entry,Full-time,M,DE,US,Technology,50,3.2,Bootcamp
Data Engineer,Mid,Full-time,M,US,US,Finance,0,7.8,Masters
Data Engineer,Senior,Full-time,L,FR,FR,Technology,50,7.6,Bachelors
Data Analyst,Mid,Full-time,S,US,CA,Technology,50,8.9,Masters
Analytics Engineer,Entry,Full-time,L,IN,IN,Finance,0,1.3,Masters
Computer Vision Engineer,Lead,Full-time,M,GB,GB,Healthcare,0,14.1,Bachelors
Data Engineer,Senior,Full-time,S,US,US,Education,0,13.3,Masters
Data Engineer,Senior,Full-time,M,US,US,Finance,100,15.9,Bachelors
Data Engineer,Entry,Full-time,L,IN,IN,Healthcare,0,2.2,Self-taught
Data Analyst,Senior,Full-time,L,DE,US,Technology,100,11.7,Bachelors
Data Engineer,Senior,Full-time,M,US,US,Technology,50,8.5,PhD
LLM Engineer,Mid,Contract,M,DE,DE,Media,100,7.3,PhD
Data Scientist,Senior,Contract,M,US,US,Finance,100,13.8,Bootcamp
LLM Engineer,Mid,Full-time,L,NL,NL,Retail,100,7.4,Bootcamp
Data Scientist,Senior,Full-time,M,US,US,Manufacturing,50,12.3,PhD
AI Engineer,Mid,Full-time,M,IN,IN,Consulting,50,7.4,Bootcamp
Analytics Engineer,Mid,Full-time,S,GB,GB,Government,50,6.9,Bachelors
Data Engineer,Mid,Contract,L,US,US,Media,0,7.1,Bachelors
Business Intelligence Analyst,Mid,Full-time,S,US,US,Technology,100,9.3,Bootcamp
Analytics Engineer,Mid,Full-time,M,US,DE,Technology,0,5.6,Bachelors
Research Scientist,Mid,Full-time,L,PL,PL,Retail,0,4.7,Masters
Data Engineer,Senior,Full-time,M,NL,NL,Finance,0,12.2,Bachelors
Data Scientist,Senior,Full-time,M,US,US,Technology,0,12.8,PhD
AI Engineer,Senior,Full-time,S,AU,AU,Finance,0,11.0,PhD
Data Analyst,Mid,Full-time,L,IN,IN,Technology,100,7.5,Masters
Business Intelligence Analyst,Lead,Full-time,M,NL,NL,Retail,100,17.0,Bachelors
Business Intelligence Analyst,Mid,Full-time,L,US,US,Consulting,50,9.6,Bachelors
Machine Learning Engineer,Senior,Full-time,M,IN,IN,Technology,50,10.7,Bachelors
MLOps Engineer,Mid,Full-time,L,AU,AU,Technology,0,6.0,Bachelors
MLOps Engineer,Entry,Full-time,S,US,US,Media,50,5.3,Bachelors
Data Engineer,Mid,Full-time,M,IN,IN,Technology,0,9.3,Masters
Data Analyst,Senior,Freelance,L,IN,IN,Finance,0,10.4,Bachelors
Machine Learning Engineer,Executive,Full-time,M,US,GB,Government,100,18.2,Bootcamp
Machine Learning Engineer,Lead,Full-time,M,US,US,Technology,0,16.7,Bootcamp
MLOps Engineer,Senior,Full-time,S,FR,FR,Media,0,13.1,Bachelors
MLOps Engineer,Executive,Full-time,L,CA,CA,Technology,0,18.9,Masters
Data Scientist,Senior,Full-time,M,CA,CA,Retail,100,11.8,Masters
Computer Vision Engineer,Entry,Full-time,S,FR,FR,Technology,0,2.1,Bachelors
Data Analyst,Mid,Full-time,M,AU,AU,Retail,0,5.5,Bachelors
Data Analyst,Senior,Contract,S,IN,IN,Consulting,50,12.3,Masters
Data Scientist,Mid,Full-time,M,US,US,Consulting,0,7.1,Self-taught
Machine Learning Engineer,Senior,Full-time,M,AU,AU,Healthcare,50,9.9,PhD
Computer Vision Engineer,Mid,Full-time,L,NL,NL,Technology,100,3.1,Bachelors
Research Scientist,Mid,Full-time,M,US,US,Media,50,7.2,Bachelors
Machine Learning Engineer,Mid,Full-time,S,US,US,Retail,0,6.7,Masters
Business Intelligence Analyst,Entry,Full-time,L,CA,CA,Healthcare,50,1.1,Masters
Computer Vision Engineer,Entry,Full-time,M,IN,IN,Retail,0,0.0,Bachelors
AI Engineer,Mid,Full-time,M,BR,BR,Finance,100,6.7,Bachelors
Analytics Engineer,Executive,Full-time,M,US,US,Consulting,50,18.2,Bachelors
Data Science Manager,Lead,Full-time,M,US,US,Finance,0,14.7,Self-taught
Data Scientist,Senior,Full-time,S,US,US,Technology,50,11.3,Masters
AI Engineer,Senior,Full-time,L,IN,IN,Technology,50,9.7,Bootcamp
MLOps Engineer,Senior,Full-time,L,US,US,Government,0,10.1,Masters
AI Engineer,Senior,Full-time,L,US,US,Finance,50,10.4,Masters
Data Engineer,Mid,Full-time,S,US,US,Consulting,50,4.5,Bachelors
Data Analyst,Lead,Contract,L,US,US,Retail,0,11.0,Masters
Business Intelligence Analyst,Senior,Full-time,M,DE,DE,Technology,100,10.4,Masters
Business Intelligence Analyst,Senior,Part-time,M,IN,AU,Technology,100,10.5,Masters
Data Scientist,Mid,Full-time,S,US,US,Healthcare,50,6.8,Bachelors
Analytics Engineer,Mid,Full-time,M,CA,CA,Technology,0,10.6,Masters
MLOps Engineer,Lead,Contract,L,FR,DE,Finance,100,12.3,Bachelors
Machine Learning Engineer,Lead,Full-time,S,US,US,Technology,0,14.0,Bachelors
Data Engineer,Lead,Full-time,M,BR,BR,Consulting,50,14.6,Masters
Data Engineer,Senior,Full-time,M,US,US,Finance,50,11.6,Self-taught
MLOps Engineer,Entry,Contract,M,US,US,Retail,100,1.6,Bachelors
Machine Learning Engineer,Senior,Full-time,L,US,US,Retail,50,10.2,Bachelors
Research Scientist,Mid,Full-time,S,US,US,Healthcare,50,5.8,Bootcamp
MLOps Engineer,Lead,Full-time,M,US,US,Consulting,100,15.0,Self-taught
Data Science Manager,Lead,Full-time,S,US,US,Healthcare,0,13.8,Masters
MLOps Engineer,Senior,Freelance,S,FR,FR,Healthcare,0,11.4,Bachelors
Data Scientist,Senior,Full-time,L,IN,US,Energy,100,7.4,Masters
Data Analyst,Entry,Full-time,M,DE,US,Technology,100,3.3,Bachelors
AI Engineer,Mid,Full-time,M,IN,IN,Healthcare,0,8.6,Masters
Data Scientist,Lead,Full-time,M,US,US,Energy,0,14.2,Bootcamp
Machine Learning Engineer,Senior,Full-time,M,IN,IN,Retail,100,8.6,Masters
Data Engineer,Senior,Full-time,M,ES,ES,Consulting,50,10.1,Masters
Data Analyst,Entry,Full-time,S,US,US,Healthcare,50,2.0,Bachelors
Data Scientist,Entry,Contract,M,US,US,Technology,50,0.0,Masters
Data Scientist,Senior,Full-time,M,IN,IN,Technology,50,5.4,Masters
Data Analyst,Senior,Full-time,L,GB,GB,Technology,100,10.6,PhD
Computer Vision Engineer,Mid,Full-time,M,DE,DE,Technology,50,7.1,Bachelors
Data Engineer,Mid,Contract,M,NL,NL,Technology,0,6.4,Bachelors
Computer Vision Engineer,Senior,Full-time,L,GB,GB,Technology,0,11.9,Bachelors
Data Scientist,Entry,Contract,L,AU,AU,Retail,100,1.5,Bachelors
AI Engineer,Mid,Contract,L,DE,DE,Manufacturing,0,7.9,Self-taught
Machine Learning Engineer,Mid,Contract,M,BR,BR,Healthcare,0,6.5,PhD
Research Scientist,Mid,Full-time,L,CA,CA,Finance,100,7.3,Bachelors
LLM Engineer,Entry,Freelance,S,GB,US,Technology,50,2.6,Masters
Data Engineer,Senior,Full-time,M,IN,IN,Media,0,8.4,Bachelors
Research Scientist,Mid,Contract,M,US,US,Retail,0,5.2,Masters
Data Analyst,Mid,Full-time,M,US,BR,Technology,0,5.0,Bachelors
Analytics Engineer,Entry,Full-time,M,US,US,Technology,50,5.9,Masters
AI Engineer,Senior,Full-time,L,GB,GB,Technology,0,12.5,Masters
Data Scientist,Mid,Freelance,M,US,US,Technology,100,8.9,Bachelors
Data Engineer,Mid,Full-time,M,GB,GB,Government,100,4.5,Bachelors
Data Scientist,Executive,Full-time,M,GB,GB,Finance,0,18.9,Masters
Analytics Engineer,Entry,Full-time,S,BR,BR,Government,0,1.9,Masters
Data Engineer,Lead,Full-time,L,US,US,Technology,0,17.3,Bachelors
Machine Learning Engineer,Mid,Full-time,S,US,US,Government,0,2.4,Bachelors
AI Engineer,Senior,Full-time,M,US,US,Technology,0,11.5,Bootcamp
Data Engineer,Lead,Full-time,S,IN,IN,Finance,0,15.3,Bachelors
Data Science Manager,Mid,Full-time,M,DE,BR,Consulting,0,4.8,Masters
Analytics Engineer,Senior,Full-time,L,ES,ES,Technology,0,9.8,Bachelors
Research Scientist,Entry,Full-time,S,IN,US,Media,50,2.7,Masters
Data Analyst,Executive,Full-time,L,US,US,Retail,50,18.0,PhD
Data Engineer,Entry,Full-time,S,IN,IN,Technology,100,2.4,Bootcamp
Data Engineer,Lead,Full-time,S,US,US,Technology,100,13.3,Masters
MLOps Engineer,Mid,Full-time,L,US,US,Healthcare,0,5.9,Bachelors
Data Scientist,Senior,Full-time,M,US,US,Education,0,9.8,Bachelors
Data Scientist,Senior,Full-time,S,US,US,Technology,50,9.3,Bachelors
Analytics Engineer,Senior,Full-time,M,US,US,Government,0,9.0,Bachelors
Data Engineer,Senior,Full-time,M,DE,DE,Technology,0,6.8,Masters
Data Engineer,Mid,Full-time,S,US,US,Healthcare,50,7.9,Masters
Data Scientist,Senior,Full-time,M,US,US,Finance,0,11.6,Masters
Data Scientist,Mid,Full-time,M,DE,DE,Consulting,0,1.7,PhD
Machine Learning Engineer,Entry,Full-time,L,BR,US,Technology,100,2.2,Bootcamp
Machine Learning Engineer,Mid,Full-time,M,US,US,Manufacturing,0,2.7,Bachelors
Data Science Manager,Mid,Full-time,S,PL,DE,Consulting,100,8.5,Bootcamp
Research Scientist,Executive,Full-time,L,DE,DE,Media,0,18.0,Masters
Data Analyst,Mid,Full-time,L,GB,GB,Technology,50,7.4,Bachelors
MLOps Engineer,Entry,Full-time,M,CA,CA,Retail,0,0.1,PhD
Data Scientist,Lead,Contract,M,NL,NL,Retail,50,14.7,Masters
Analytics Engineer,Mid,Contract,S,NL,NL,Finance,0,5.0,Bachelors
Data Engineer,Entry,Full-time,S,US,US,Finance,50,2.2,Bachelors
Research Scientist,Mid,Full-time,L,US,US,Finance,0,4.9,PhD
Data Science Manager,Executive,Full-time,M,US,US,Technology,0,18.7,Self-taught
Data Science Manager,Entry,Full-time,S,SG,SG,Technology,50,1.9,Self-taught
AI Engineer,Mid,Full-time,M,PL,PL,Technology,0,6.5,Masters
Data Scientist,Lead,Contract,S,ES,ES,Media,50,11.7,Bachelors
Data Scientist,Executive,Full-time,M,CA,CA,Finance,0,19.8,Self-taught
Data Analyst,Executive,Freelance,M,GB,GB,Finance,0,20.1,Bachelors
Data Scientist,Entry,Full-time,M,GB,GB,Healthcare,100,2.4,Masters
Data Engineer,Entry,Full-time,L,IN,IN,Education,100,1.2,Masters
Business Intelligence Analyst,Lead,Freelance,M,CA,CA,Technology,50,12.7,Bachelors
Data Engineer,Senior,Contract,L,GB,GB,Consulting,0,10.5,Bachelors
Data Engineer,Mid,Full-time,M,US,US,Manufacturing,0,5.9,Bootcamp
LLM Engineer,Mid,Full-time,L,IN,IN,Healthcare,0,6.4,PhD
Analytics Engineer,Entry,Full-time,M,US,CA,Manufacturing,0,3.2,Bootcamp
Data Engineer,Senior,Full-time,M,SG,US,Media,100,9.9,Self-taught
Machine Learning Engineer,Mid,Full-time,L,US,ES,Retail,0,5.8,Bachelors
AI Engineer,Lead,Full-time,M,CA,CA,Healthcare,0,12.4,Bachelors
MLOps Engineer,Mid,Full-time,L,DE,DE,Retail,0,5.2,Masters
Data Scientist,Senior,Full-time,L,US,US,Technology,0,9.3,Masters
Analytics Engineer,Mid,Full-time,M,DE,DE,Technology,0,3.9,Bachelors
Data Scientist,Mid,Full-time,S,US,US,Consulting,0,6.1,PhD
AI Engineer,Mid,Full-time,M,GB,GB,Consulting,100,7.1,Bachelors
Computer Vision Engineer,Mid,Full-time,M,FR,FR,Consulting,0,5.9,Bachelors
Data Analyst,Lead,Contract,M,FR,FR,Finance,100,15.6,Bachelors
Analytics Engineer,Executive,Full-time,M,FR,FR,Technology,50,21.0,Masters
Data Engineer,Mid,Full-time,M,US,US,Media,0,9.2,Bachelors
Data Analyst,Senior,Full-time,M,US,US,Technology,50,13.4,Masters
Machine Learning Engineer,Senior,Freelance,S,GB,GB,Technology,100,9.1,Bachelors
Data Analyst,Entry,Contract,M,IN,CA,Finance,100,2.1,PhD
Machine Learning Engineer,Senior,Full-time,M,ES,ES,Retail,100,10.3,PhD
AI Engineer,Lead,Full-time,S,NL,NL,Technology,100,13.1,Masters
Analytics Engineer,Senior,Full-time,M,CA,ES,Technology,100,12.7,Masters
LLM Engineer,Senior,Full-time,S,IN,IN,Finance,50,10.1,Masters
Business Intelligence Analyst,Senior,Full-time,M,IN,IN,Media,0,8.9,PhD
Machine Learning Engineer,Mid,Freelance,L,IN,IN,Finance,0,8.4,Masters
Computer Vision Engineer,Mid,Full-time,S,GB,GB,Manufacturing,0,6.3,Bachelors
Business Intelligence Analyst,Senior,Part-time,L,IN,IN,Technology,0,9.8,Masters
Machine Learning Engineer,Senior,Freelance,M,PL,PL,Technology,50,8.9,Bachelors
Data Scientist,Senior,Full-time,L,ES,ES,Manufacturing,0,10.4,Masters
Data Engineer,Entry,Full-time,L,GB,US,Finance,100,0.2,Masters
Analytics Engineer,Lead,Full-time,M,US,US,Government,0,10.6,Bachelors
AI Engineer,Entry,Full-time,M,IN,IN,Healthcare,0,2.7,Masters
Data Analyst,Entry,Full-time,L,IN,FR,Finance,100,1.9,Masters
Business Intelligence Analyst,Senior,Full-time,S,US,US,Technology,0,8.2,Bootcamp
Research Scientist,Senior,Full-time,M,BR,BR,Retail,0,7.5,Bachelors
Data Scientist,Mid,Freelance,M,US,DE,Technology,100,6.0,Masters
LLM Engineer,Entry,Full-time,S,ES,ES,Government,0,2.8,PhD
Machine Learning Engineer,Mid,Full-time,S,DE,DE,Finance,0,4.6,Bachelors
Data Engineer,Lead,Full-time,S,US,US,Media,0,14.2,Bachelors
Machine Learning Engineer,Entry,Part-time,L,IN,IN,Finance,50,1.3,Bachelors
AI Engineer,Mid,Contract,M,IN,IN,Technology,100,10.0,Bootcamp
Data Science Manager,Mid,Full-time,S,IN,IN,Retail,50,7.3,Masters
MLOps Engineer,Entry,Full-time,M,ES,ES,Retail,50,4.5,Bachelors
Data Analyst,Senior,Full-time,M,IN,IN,Healthcare,100,6.0,Masters
Machine Learning Engineer,Mid,Full-time,S,BR,BR,Technology,0,5.6,PhD
Data Scientist,Senior,Full-time,M,US,US,Energy,0,8.4,PhD
Data Engineer,Mid,Full-time,S,DE,DE,Healthcare,100,6.0,Bachelors
LLM Engineer,Senior,Full-time,S,US,US,Government,0,9.5,PhD
Data Engineer,Senior,Full-time,M,FR,FR,Healthcare,0,12.7,Bachelors
LLM Engineer,Entry,Full-time,M,US,US,Healthcare,100,0.0,Bachelors
Data Engineer,Senior,Full-time,L,CA,US,Retail,50,10.5,Masters
AI Engineer,Lead,Freelance,L,FR,IN,Technology,100,15.8,Masters
Data Scientist,Entry,Full-time,M,US,US,Education,50,4.5,Masters
Data Scientist,Mid,Full-time,L,IN,IN,Technology,50,8.0,Bachelors
Data Engineer,Entry,Contract,M,NL,NL,Healthcare,100,3.2,PhD
Computer Vision Engineer,Entry,Contract,M,AU,AU,Finance,100,0.0,Bachelors
MLOps Engineer,Mid,Full-time,L,GB,GB,Manufacturing,100,8.4,Masters
Data Analyst,Mid,Full-time,M,US,US,Technology,100,2.7,Bachelors
Data Engineer,Mid,Full-time,L,NL,IN,Technology,100,5.0,Bootcamp
Data Scientist,Entry,Full-time,L,GB,GB,Manufacturing,50,1.0,Masters
Research Scientist,Senior,Full-time,S,IN,IN,Consulting,100,6.1,Bachelors
Computer Vision Engineer,Mid,Full-time,S,CA,CA,Finance,50,5.0,Masters
Research Scientist,Senior,Full-time,S,DE,DE,Finance,0,10.6,Bachelors
Analytics Engineer,Mid,Full-time,L,CA,CA,Technology,100,8.4,Masters
Data Engineer,Mid,Full-time,S,US,US,Energy,0,7.8,PhD
Analytics Engineer,Entry,Full-time,S,ES,US,Technology,100,2.3,Bachelors
Machine Learning Engineer,Mid,Full-time,S,GB,GB,Technology,0,9.4,Self-taught
MLOps Engineer,Mid,Part-time,L,US,US,Healthcare,0,6.8,Masters
Data Analyst,Mid,Full-time,L,DE,DE,Retail,100,7.2,Bachelors
MLOps Engineer,Senior,Full-time,S,US,US,Media,100,11.5,Masters
Data Analyst,Entry,Part-time,M,FR,FR,Technology,100,5.0,PhD
Data Engineer,Senior,Full-time,M,US,US,Technology,100,11.5,Bachelors
Data Engineer,Entry,Full-time,M,DE,DE,Finance,0,1.9,Self-taught
Machine Learning Engineer,Mid,Full-time,M,US,US,Technology,100,4.3,Bachelors
Data Analyst,Mid,Full-time,S,IN,IN,Retail,50,8.0,PhD
AI Engineer,Mid,Full-time,S,IN,IN,Technology,100,9.8,Bachelors
Research Scientist,Entry,Full-time,M,US,US,Finance,100,0.0,Masters
Data Analyst,Senior,Full-time,L,AU,AU,Media,50,10.8,Masters
Analytics Engineer,Entry,Full-time,M,BR,BR,Retail,0,1.7,Masters
Research Scientist,Senior,Part-time,L,IN,IN,Education,50,9.0,Bachelors
Data Science Manager,Mid,Contract,M,DE,DE,Government,50,6.1,Masters
Business Intelligence Analyst,Entry,Full-time,S,CA,CA,Media,0,0.0,PhD
Computer Vision Engineer,Entry,Full-time,M,PL,PL,Finance,50,4.7,Masters
Computer Vision Engineer,Mid,Full-time,M,IN,IN,Consulting,50,8.4,Bootcamp
Business Intelligence Analyst,Senior,Full-time,S,GB,GB,Technology,0,10.7,Self-taught
Data Science Manager,Mid,Freelance,S,DE,DE,Consulting,50,6.8,Bootcamp
Data Science Manager,Mid,Full-time,S,US,US,Technology,0,5.8,Self-taught
Data Engineer,Senior,Full-time,M,GB,GB,Energy,0,11.3,Bachelors
Data Scientist,Entry,Full-time,L,US,US,Technology,0,1.3,Bachelors
Computer Vision Engineer,Lead,Contract,M,NL,NL,Energy,50,14.6,Bachelors
Data Engineer,Entry,Full-time,S,IN,IN,Manufacturing,0,1.3,Bootcamp
Business Intelligence Analyst,Senior,Full-time,M,ES,ES,Consulting,0,13.2,Bachelors
Data Science Manager,Senior,Full-time,L,US,US,Energy,50,8.0,Masters
AI Engineer,Mid,Full-time,M,CA,CA,Healthcare,0,5.4,Bootcamp
Data Engineer,Senior,Full-time,L,GB,GB,Retail,100,10.2,PhD
Research Scientist,Senior,Full-time,S,AU,AU,Energy,100,9.2,Self-taught
LLM Engineer,Senior,Full-time,M,US,US,Energy,0,11.7,Masters
Data Analyst,Mid,Full-time,L,AU,AU,Technology,0,6.0,Bachelors
Business Intelligence Analyst,Senior,Full-time,L,US,US,Technology,50,10.3,Masters
MLOps Engineer,Senior,Full-time,S,CA,CA,Retail,50,8.1,PhD
Computer Vision Engineer,Entry,Full-time,S,AU,US,Media,0,0.0,Masters
Data Engineer,Entry,Full-time,S,US,US,Manufacturing,0,1.5,Masters
Computer Vision Engineer,Entry,Full-time,S,US,US,Consulting,100,1.9,Masters
Data Analyst,Senior,Full-time,M,BR,BR,Retail,50,10.5,Masters
MLOps Engineer,Lead,Full-time,S,NL,NL,Finance,50,15.7,Bachelors
Computer Vision Engineer,Mid,Full-time,M,AU,AU,Finance,100,5.4,Bachelors
AI Engineer,Senior,Full-time,M,PL,PL,Technology,100,8.7,PhD
Data Analyst,Mid,Full-time,M,US,US,Finance,0,4.5,Masters
Data Science Manager,Senior,Part-time,S,IN,IN,Healthcare,100,10.3,Masters
AI Engineer,Senior,Contract,M,US,US,Technology,50,9.4,Bootcamp
Data Analyst,Senior,Full-time,S,US,US,Media,0,11.4,Bachelors
Computer Vision Engineer,Senior,Full-time,S,AU,AU,Finance,0,11.5,PhD
LLM Engineer,Entry,Full-time,M,IN,IN,Energy,0,0.0,Bachelors
Computer Vision Engineer,Mid,Contract,S,FR,FR,Finance,100,6.4,PhD
Research Scientist,Lead,Full-time,L,GB,GB,Technology,0,13.6,Masters
Data Analyst,Mid,Full-time,S,GB,GB,Healthcare,0,6.5,Masters
AI Engineer,Lead,Full-time,M,ES,ES,Consulting,100,15.7,Bachelors
Machine Learning Engineer,Mid,Full-time,L,SG,SG,Consulting,50,4.4,Masters
Machine Learning Engineer,Senior,Full-time,L,CA,CA,Media,100,11.2,Masters
Data Scientist,Senior,Full-time,M,BR,IN,Consulting,100,8.2,Self-taught
